index,op,latency_us,ok,error
5,put,16131,true,
3,put,20003,true,
23,put,34198,true,
1,put,37086,true,
29,put,39675,true,
15,put,44085,true,
48,put,47288,true,
4,put,50136,true,
80,put,51293,true,
33,put,53536,true,
55,put,57974,true,
2,put,61796,true,
21,put,64163,true,
10,put,67293,true,
16,put,70381,true,
77,put,72144,true,
6,put,74960,true,
40,put,76977,true,
88,put,79038,true,
85,put,83070,true,
47,put,87436,true,
8,put,91019,true,
68,put,92450,true,
14,put,96524,true,
75,put,99879,true,
61,put,101822,true,
81,put,103579,true,
50,put,105489,true,
12,put,107658,true,
71,put,109448,true,
92,put,111817,true,
66,put,113886,true,
19,put,116013,true,
20,put,119074,true,
11,put,122423,true,
13,put,126412,true,
37,put,127907,true,
56,put,129516,true,
41,put,131263,true,
35,put,133040,true,
0,put,135415,true,
9,put,138137,true,
87,put,139302,true,
70,put,141429,true,
84,put,144293,true,
96,put,147074,true,
82,put,152115,true,
7,put,155626,true,
17,put,157488,true,
60,put,159084,true,
44,put,161028,true,
31,put,162853,true,
45,put,165191,true,
83,put,166678,true,
69,put,168674,true,
74,put,172252,true,
64,put,176225,true,
54,put,181012,true,
58,put,183982,true,
51,put,187230,true,
24,put,189823,true,
27,put,192345,true,
30,put,195899,true,
62,put,199364,true,
39,put,203085,true,
46,put,205959,true,
93,put,209443,true,
94,put,211713,true,
63,put,214908,true,
98,put,217685,true,
42,put,222796,true,
91,put,226009,true,
59,put,229469,true,
22,put,234346,true,
72,put,238871,true,
99,put,240532,true,
34,put,244816,true,
32,put,246741,true,
43,put,248404,true,
53,put,250963,true,
79,put,252529,true,
36,put,254507,true,
76,put,256026,true,
49,put,258675,true,
65,put,261552,true,
38,put,265991,true,
52,put,268530,true,
95,put,269635,true,
67,put,272047,true,
57,put,273971,true,
90,put,276467,true,
18,put,279566,true,
97,put,279689,true,
28,put,284465,true,
89,put,287616,true,
86,put,291587,true,
25,put,296205,true,
26,put,298887,true,
73,put,300783,true,
78,put,302720,true,
100,put,288865,true,
101,put,287680,true,
102,put,274919,true,
103,put,275173,true,
104,put,274785,true,
105,put,273909,true,
106,put,274326,true,
107,put,274482,true,
108,put,275664,true,
109,put,275915,true,
110,put,273140,true,
111,put,272096,true,
112,put,272113,true,
113,put,271010,true,
114,put,269459,true,
115,put,272897,true,
116,put,275079,true,
117,put,278063,true,
118,put,279200,true,
