index,op,latency_us,ok,error
17,put,23662,true,
11,put,24049,true,
21,put,23895,true,
7,put,29573,true,
5,put,29901,true,
19,put,29566,true,
39,put,28025,true,
2,put,30545,true,
14,put,31394,true,
9,put,31603,true,
20,put,31475,true,
42,put,30504,true,
0,put,33143,true,
22,put,33224,true,
44,put,31615,true,
41,put,33506,true,
27,put,35334,true,
16,put,35587,true,
3,put,37239,true,
10,put,37110,true,
6,put,37206,true,
29,put,39138,true,
40,put,37841,true,
18,put,39566,true,
61,put,37279,true,
43,put,38254,true,
23,put,40047,true,
13,put,42801,true,
37,put,41256,true,
38,put,41389,true,
59,put,40908,true,
4,put,44336,true,
1,put,45310,true,
34,put,45161,true,
28,put,45446,true,
64,put,45431,true,
15,put,48314,true,
35,put,46793,true,
73,put,45607,true,
47,put,47418,true,
8,put,49557,true,
12,put,52413,true,
67,put,49334,true,
25,put,52412,true,
48,put,51221,true,
66,put,51208,true,
68,put,51078,true,
56,put,54235,true,
31,put,56848,true,
75,put,53626,true,
33,put,57103,true,
81,put,33506,true,
74,put,54502,true,
80,put,34970,true,
82,put,34775,true,
26,put,58996,true,
49,put,57802,true,
70,put,56883,true,
52,put,58045,true,
58,put,59963,true,
51,put,60834,true,
79,put,59063,true,
30,put,62741,true,
57,put,62362,true,
69,put,62068,true,
65,put,62383,true,
63,put,67161,true,
46,put,68248,true,
50,put,68153,true,
54,put,67562,true,
72,put,67745,true,
71,put,67957,true,
36,put,69846,true,
83,put,44735,true,
76,put,70547,true,
55,put,71473,true,
60,put,71773,true,
89,put,44054,true,
84,put,45969,true,
78,put,72069,true,
87,put,46224,true,
90,put,44833,true,
24,put,76823,true,
95,put,41765,true,
88,put,45872,true,
92,put,45875,true,
96,put,43259,true,
32,put,78629,true,
45,put,77611,true,
53,put,78273,true,
91,put,48701,true,
100,put,44062,true,
77,put,79158,true,
97,put,47286,true,
102,put,43320,true,
109,put,41670,true,
98,put,49765,true,
107,put,43905,true,
86,put,57097,true,
62,put,84298,true,
85,put,60031,true,
101,put,50331,true,
111,put,45764,true,
93,put,58336,true,
112,put,47070,true,
103,put,52251,true,
114,put,46509,true,
94,put,59604,true,
104,put,53147,true,
118,put,44194,true,
120,put,45363,true,
99,put,57870,true,
110,put,52887,true,
106,put,57877,true,
123,put,45452,true,
117,put,49674,true,
125,put,44342,true,
121,put,47740,true,
105,put,60190,true,
131,put,42882,true,
134,put,43076,true,
108,put,59009,true,
126,put,47839,true,
128,put,48483,true,
133,put,47023,true,
113,put,60044,true,
130,put,48302,true,
137,put,45565,true,
141,put,42820,true,
115,put,57675,true,
116,put,58460,true,
136,put,47621,true,
142,put,44541,true,
119,put,59283,true,
139,put,46561,true,
147,put,39467,true,
122,put,57290,true,
153,put,37123,true,
124,put,58063,true,
143,put,46201,true,
144,put,47527,true,
127,put,56164,true,
154,put,39002,true,
161,put,38300,true,
129,put,57619,true,
148,put,44785,true,
158,put,41400,true,
132,put,60549,true,
151,put,47384,true,
166,put,39823,true,
135,put,59611,true,
152,put,47313,true,
171,put,40640,true,
138,put,61416,true,
157,put,46192,true,
162,put,47001,true,
169,put,43078,true,
140,put,61041,true,
164,put,47065,true,
173,put,41688,true,
145,put,59308,true,
167,put,46591,true,
176,put,39101,true,
146,put,55852,true,
178,put,40507,true,
149,put,57659,true,
170,put,47059,true,
150,put,59473,true,
182,put,41014,true,
175,put,46122,true,
156,put,56996,true,
181,put,41807,true,
183,put,39967,true,
185,put,43117,true,
155,put,60879,true,
184,put,43250,true,
160,put,58813,true,
186,put,42864,true,
188,put,41957,true,
189,put,43249,true,
190,put,41849,true,
159,put,61005,true,
193,put,39624,true,
163,put,60611,true,
199,put,37731,true,
165,put,60881,true,
195,put,41204,true,
197,put,39620,true,
200,put,38845,true,
168,put,61657,true,
196,put,44226,true,
174,put,59884,true,
205,put,37274,true,
198,put,44714,true,
172,put,62345,true,
206,put,39463,true,
203,put,41897,true,
209,put,41698,true,
177,put,61096,true,
204,put,42041,true,
208,put,43496,true,
212,put,41814,true,
179,put,62299,true,
180,put,62964,true,
213,put,44064,true,
211,put,45300,true,
217,put,41953,true,
187,put,60050,true,
214,put,43855,true,
221,put,42158,true,
191,put,60431,true,
226,put,38550,true,
192,put,59438,true,
218,put,45445,true,
228,put,40006,true,
194,put,60646,true,
230,put,40171,true,
201,put,57052,true,
220,put,46253,true,
233,put,38555,true,
223,put,45621,true,
236,put,36568,true,
202,put,59144,true,
225,put,46672,true,
239,put,38200,true,
231,put,45171,true,
207,put,58270,true,
234,put,45832,true,
241,put,42033,true,
210,put,60801,true,
237,put,45567,true,
216,put,59841,true,
242,put,44069,true,
244,put,45227,true,
215,put,62988,true,
240,put,48298,true,
219,put,63328,true,
247,put,44088,true,
